y,Capital costs,Fixed costs,Variable costs,Fuel costs
2020,2.233027104093004,2.6550385237691656,0.24185838662454734,0.0018060113358400525
2021,2.426194005724767,2.6597624829260886,0.23822127788738806,0.0018291897701683938
2022,2.6079348747057396,2.664188168424202,0.2347973225637574,0.0018506692718292972
2023,2.79890547608171,2.668758882220831,0.23119067781009534,0.0018736180507681712
2024,3.114260237252086,2.6051785034107833,0.3533169431074483,0.2681621042705443
2025,5.158089152121826,2.6651126875297,0.21321227343696966,0.0018902463496982365
2026,6.180409289045495,2.6719632473415365,0.20186108523147106,0.001944291704670912
2027,6.9377117568166,2.675835364536731,0.19390361297090494,0.0019801762138219373
2028,7.4937404640381216,2.731421184022824,0.27387095815501666,0.17841533904085188
2029,8.00345918736637,2.7824473699305914,0.3471496586932829,0.34007859493293185
2030,8.556828536699424,2.8380952118422145,0.4258163574716763,0.5136406158227996
2031,10.478338201888027,3.0439316673930947,0.6621625744588117,1.0350894549078316
2032,11.9835215962973,3.2052117967097025,0.8472872317457575,1.4435200524463148
2033,13.19354474911143,3.3348199154605846,0.996124627461675,1.7719010698647495
2034,14.188977574938287,3.4414879875084283,1.1185515809645483,2.0420027458571117
2035,15.15595369802502,3.5288750224017984,1.223584450707897,2.273254275508916
2036,15.852112784517976,3.6046944185065817,1.310256634235971,2.464510456909948
2037,16.48241777506451,3.671094401971492,1.389072222688958,2.63765035171487
2038,17.033629027073,3.7295035256871487,1.4594917515927732,2.7921250762381296
2039,17.470304796655366,3.771612875504867,1.5247282615367617,2.9355992830077895
2040,17.834047031106504,3.8084230853733283,1.5791803790515617,3.056265648610893
2041,18.152089575704522,3.840334320593668,1.6276753844304312,3.1640680868787943
2042,18.442230854925025,3.869711660001243,1.6711013489711763,3.2609324131758286
2043,18.74677912283628,3.898757312533239,1.715762571648053,3.359684880087773
2044,18.9815746702968,3.9226152200230864,1.7509482248937187,3.4387951654332083
2045,19.71890443399145,3.9445271875028,1.7835075329144894,3.5121586193499863
2046,20.09597570294444,3.947406174957117,1.7914548885077184,3.5340796752227726
2047,20.59362566147905,3.932900204737746,1.7772552808360533,3.509393189197678
2048,21.399887257778467,3.883589889370573,1.6951751830004973,3.344621487851482
2049,22.202997985268563,3.8380624947781765,1.6193518103585776,3.1920115469844847
2050,22.7421493961676,3.873199367852674,1.5835229043657673,3.0214284335330626
