REGION,STORAGE,YEAR,VALUE
REGION1,BATTERY,2021,0.1884098356037008
REGION1,BATTERY,2028,0.0045235980771057005
REGION1,BATTERY,2029,0.3344951481820344
REGION1,BATTERY,2030,0.239386688060926
REGION1,BATTERY,2031,0.32947899162354144
REGION1,BATTERY,2032,0.5404349610965522
REGION1,BATTERY,2033,0.6145881879048584
REGION1,BATTERY,2034,0.4583188835243028
REGION1,BATTERY,2035,0.44054181497274886
REGION1,BATTERY,2036,0.42721176517141674
REGION1,BATTERY,2037,0.4027327940341725
REGION1,BATTERY,2038,0.39696688682373527
REGION1,BATTERY,2039,0.4244787552262217
REGION1,BATTERY,2040,0.46841242693333385
REGION1,BATTERY,2041,0.45509752470718473
REGION1,BATTERY,2042,0.5065016258829401
REGION1,BATTERY,2043,0.5179725185420718
REGION1,BATTERY,2044,0.3608217372533389
REGION1,BATTERY,2045,0.49768865498977993
REGION1,BATTERY,2046,0.7154512754875002
REGION1,BATTERY,2047,0.336287551939483
REGION1,BATTERY,2048,0.3400911454979436
REGION1,BATTERY,2049,0.4529173065896366
