REGION,TIMESLICE,FUEL,YEAR,VALUE
REGION1,1,TRAELCB02,2050,4.07955564
REGION1,2,COMELCB02,2021,6.67520428
REGION1,2,COMELCB02,2022,7.1812258
REGION1,2,COMELCB02,2023,7.48206944
REGION1,2,COMELCB02,2024,7.70109368
REGION1,2,COMELCB02,2025,7.91256536
REGION1,2,COMELCB02,2026,8.14165968
REGION1,2,COMELCB02,2027,8.37956532
REGION1,2,COMELCB02,2028,8.57089684
REGION1,2,COMELCB02,2029,8.73327688
REGION1,2,COMELCB02,2030,8.88558684
REGION1,2,COMELCB02,2031,9.04922564
REGION1,2,COMELCB02,2032,9.22167576
REGION1,2,COMELCB02,2033,9.37650324
REGION1,2,COMELCB02,2034,9.535107
REGION1,2,COMELCB02,2035,9.69496952
REGION1,2,COMELCB02,2036,9.86490212
REGION1,2,COMELCB02,2037,10.0323172
REGION1,2,COMELCB02,2038,10.19092096
REGION1,2,COMELCB02,2039,10.34574844
REGION1,2,COMELCB02,2040,10.48169452
REGION1,2,COMELCB02,2041,10.61638184
REGION1,2,COMELCB02,2042,10.74477536
REGION1,2,COMELCB02,2043,10.87191012
REGION1,2,COMELCB02,2044,10.99400984
REGION1,2,COMELCB02,2045,11.12366212
REGION1,2,COMELCB02,2046,11.265902
REGION1,2,COMELCB02,2047,11.4169532
REGION1,2,COMELCB02,2048,11.58436828
REGION1,2,COMELCB02,2049,11.7568184
REGION1,2,COMELCB02,2050,11.94437364
REGION1,2,INDELCB02,2021,11.16771872
REGION1,2,INDELCB02,2022,11.78576988
REGION1,2,INDELCB02,2023,12.54857844
REGION1,2,INDELCB02,2024,12.95012288
REGION1,2,INDELCB02,2025,13.35040856
REGION1,2,INDELCB02,2026,13.77209316
REGION1,2,INDELCB02,2027,13.99866996
REGION1,2,INDELCB02,2028,14.50972652
REGION1,2,INDELCB02,2029,15.37323588
REGION1,2,INDELCB02,2030,16.03282612
REGION1,2,INDELCB02,2031,16.41548916
REGION1,2,INDELCB02,2032,17.33438396
REGION1,2,INDELCB02,2033,18.23817364
REGION1,2,INDELCB02,2034,18.47607928
REGION1,2,INDELCB02,2035,18.68377468
REGION1,2,INDELCB02,2036,18.8751062
REGION1,2,INDELCB02,2037,19.04881508
REGION1,2,INDELCB02,2038,19.21623016
REGION1,2,INDELCB02,2039,19.39623284
REGION1,2,INDELCB02,2040,19.573718
REGION1,2,INDELCB02,2041,19.72980424
REGION1,2,INDELCB02,2042,19.88337296
REGION1,2,INDELCB02,2043,20.03064788
REGION1,2,INDELCB02,2044,20.17540528
REGION1,2,INDELCB02,2045,20.32393896
REGION1,2,INDELCB02,2046,20.47247264
REGION1,2,INDELCB02,2047,20.60086616
REGION1,2,INDELCB02,2048,20.72170712
REGION1,2,INDELCB02,2049,20.84884188
REGION1,2,INDELCB02,2050,20.97345912
