REGION,STORAGE,YEAR,VALUE
REGION1,BATTERY,2028,59.67971145393901
REGION1,BATTERY,2029,6463.153369534959
REGION1,BATTERY,2030,6022.823087189257
REGION1,BATTERY,2031,10121.16658336912
REGION1,BATTERY,2032,19462.836908841084
REGION1,BATTERY,2033,25232.37355009301
REGION1,BATTERY,2034,21017.62527870912
REGION1,BATTERY,2035,22217.290885582275
REGION1,BATTERY,2036,23405.91020366548
REGION1,BATTERY,2037,23735.480091137855
REGION1,BATTERY,2038,24964.036099113506
REGION1,BATTERY,2039,28291.38535349978
REGION1,BATTERY,2040,32898.1457558708
REGION1,BATTERY,2041,33516.21441639222
REGION1,BATTERY,2042,38948.27227004094
REGION1,BATTERY,2043,41433.79776477338
REGION1,BATTERY,2044,29926.732251735015
REGION1,BATTERY,2045,42675.966657754005
REGION1,BATTERY,2046,63261.95085543687
REGION1,BATTERY,2047,30591.819321665847
REGION1,BATTERY,2048,31762.7233742675
REGION1,BATTERY,2049,43346.33590105135
