,Squamish-Lillooet_1,Squamish-Lillooet_1,CF_mean
,mean,std,
timeslices,,,
NA,0.5452834728106905,0.31085083582147593,0.5452834728106905
SEA1D,0.5175458430016034,0.32359416005950264,0.5175458430016034
SEA1N,0.5431440071318108,0.3794232415155986,0.5431440071318108
SEA2D,0.6959506035939248,0.35886321740555016,0.6959506035939248
SEA2N,0.6955933671797164,0.3677947215714081,0.6955933671797164
SEA3D,0.5573908888816363,0.38506956072893594,0.5573908888816363
SEA3N,0.4683017040443988,0.36671716490660966,0.4683017040443988
SEA4D,0.56502586679639,0.39833185806749233,0.56502586679639
SEA4N,0.4391719854218757,0.3847776124813454,0.4391719854218757
