TIMESLICE,Fraser-Fort George_1,CF_mean
NA,0.5697043383963467,0.5697043383963467
SEA1D,0.6688715855038241,0.6688715855038241
SEA1N,0.6637817712225933,0.6637817712225933
SEA2D,0.654289056119383,0.654289056119383
SEA2N,0.6709387967536765,0.6709387967536765
SEA3D,0.5067395918921738,0.5067395918921738
SEA3N,0.6045137341898469,0.6045137341898469
SEA4D,0.4873229569518935,0.4873229569518935
SEA4N,0.5943445574434985,0.5943445574434985
