r,t,y,CapitalInvestment
REGION1,DEMAGRDSL,2020,0.1503
REGION1,DEMAGRDSL,2021,0.1578
REGION1,DEMAGRDSL,2022,0.1643
REGION1,DEMAGRDSL,2023,0.1682
REGION1,DEMAGRDSL,2024,0.1777
REGION1,DEMAGRDSL,2025,0.1832
REGION1,DEMAGRDSL,2026,0.1759
REGION1,DEMAGRDSL,2027,0.1686
REGION1,DEMAGRDSL,2028,0.1613
REGION1,DEMAGRDSL,2029,0.1539
REGION1,DEMAGRDSL,2030,0.1466
REGION1,DEMAGRDSL,2031,0.1393
REGION1,DEMAGRDSL,2032,0.1319
REGION1,DEMAGRDSL,2033,0.1246
REGION1,DEMAGRDSL,2034,0.1173
REGION1,DEMAGRDSL,2035,0.1099
REGION1,DEMAGRDSL,2036,0.1026
REGION1,DEMAGRDSL,2037,0.0953
REGION1,DEMAGRDSL,2038,0.088
REGION1,DEMAGRDSL,2039,0.0806
REGION1,DEMAGRDSL,2040,0.0733
REGION1,DEMAGRDSL,2041,0.066
REGION1,DEMAGRDSL,2042,0.0586
REGION1,DEMAGRDSL,2043,0.0513
REGION1,DEMAGRDSL,2044,0.044
REGION1,DEMAGRDSL,2045,0.0367
REGION1,DEMAGRDSL,2046,0.0293
REGION1,DEMAGRDSL,2047,0.022
REGION1,DEMAGRDSL,2048,0.0147
REGION1,DEMAGRDSL,2049,0.0073
REGION1,DEMAGRELCB02,2026,0.0199
REGION1,DEMAGRELCB02,2027,0.0399
REGION1,DEMAGRELCB02,2028,0.0597
REGION1,DEMAGRELCB02,2029,0.0796
REGION1,DEMAGRELCB02,2030,0.0995
REGION1,DEMAGRELCB02,2031,0.1195
REGION1,DEMAGRELCB02,2032,0.1394
REGION1,DEMAGRELCB02,2033,0.1592
REGION1,DEMAGRELCB02,2034,0.1791
REGION1,DEMAGRELCB02,2035,0.199
REGION1,DEMAGRELCB02,2036,0.219
REGION1,DEMAGRELCB02,2037,0.2388
REGION1,DEMAGRELCB02,2038,0.2587
REGION1,DEMAGRELCB02,2039,0.2786
REGION1,DEMAGRELCB02,2040,0.2986
REGION1,DEMAGRELCB02,2041,0.3185
REGION1,DEMAGRELCB02,2042,0.3383
REGION1,DEMAGRELCB02,2043,0.3582
REGION1,DEMAGRELCB02,2044,0.3782
REGION1,DEMAGRELCB02,2045,0.3981
REGION1,DEMAGRELCB02,2046,0.418
REGION1,DEMAGRELCB02,2047,0.4378
REGION1,DEMAGRELCB02,2048,0.4577
