REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DEMPWRHYD,PWRHYD,1,2025,1
REGION1,DEMPWRHYD,PWRHYD,1,2026,1
REGION1,PWRHYDB01,ELCB01,1,2021,1
REGION1,PWRHYDB01,ELCB01,1,2022,1
REGION1,PWRHYDB01,ELCB01,1,2023,1
REGION1,PWRHYDB01,ELCB01,1,2024,1
REGION1,PWRHYDB01,ELCB01,1,2025,1
REGION1,PWRHYDB01,ELCB01,1,2026,1
REGION1,PWRHYDB01,WTRSURBC1,1,2022,0
REGION1,PWRHYDB01,WTRSURBC1,1,2024,0
REGION1,PWRHYDB01,WTRSURBC1,1,2026,0
REGION1,PWRHYDB02,ELCB01,1,2021,1
REGION1,PWRHYDB02,ELCB01,1,2022,1
REGION1,PWRHYDB02,ELCB01,1,2023,1
REGION1,PWRHYDB02,ELCB01,1,2024,1
REGION1,PWRHYDB02,ELCB01,1,2025,1
REGION1,PWRHYDB02,ELCB01,1,2026,1
REGION1,PWRHYDB02,WTRSURBC1,1,2022,0
REGION1,PWRHYDB02,WTRSURBC1,1,2024,0
REGION1,PWRHYDB02,WTRSURBC1,1,2026,0
REGION1,DEMPWRNGS,PWRNGS,1,2021,1
REGION1,DEMPWRNGS,PWRNGS,1,2022,1
REGION1,DEMPWRNGS,PWRNGS,1,2023,1
REGION1,DEMPWRNGS,PWRNGS,1,2024,1
REGION1,DEMPWRNGS,PWRNGS,1,2025,1
REGION1,DEMPWRNGS,PWRNGS,1,2026,1
REGION1,PWRNGSB01,ELCB01,1,2021,1
REGION1,PWRNGSB01,ELCB01,1,2022,1
REGION1,PWRNGSB01,ELCB01,1,2023,1
REGION1,PWRNGSB01,ELCB01,1,2024,1
REGION1,PWRNGSB01,ELCB01,1,2025,1
REGION1,PWRNGSB01,ELCB01,1,2026,1
REGION1,PWRNGSB01,WTRSURBC1,1,2021,0.0225
REGION1,PWRNGSB01,WTRSURBC1,1,2022,0.0225
REGION1,PWRNGSB01,WTRSURBC1,1,2023,0.0225
REGION1,PWRNGSB01,WTRSURBC1,1,2024,0.0225
REGION1,PWRNGSB01,WTRSURBC1,1,2025,0.0225
REGION1,PWRNGSB01,WTRSURBC1,1,2026,0.0225
REGION1,PWRNGSB02,ELCB01,1,2021,1
REGION1,PWRNGSB02,ELCB01,1,2022,1
REGION1,PWRNGSB02,ELCB01,1,2023,1
REGION1,PWRNGSB02,ELCB01,1,2024,1
REGION1,PWRNGSB02,ELCB01,1,2025,1
REGION1,PWRNGSB02,ELCB01,1,2026,1
REGION1,PWRNGSB02,WTRSURBC1,1,2021,0.0225
REGION1,PWRNGSB02,WTRSURBC1,1,2022,0.0225
REGION1,PWRNGSB02,WTRSURBC1,1,2023,0.0225
REGION1,PWRNGSB02,WTRSURBC1,1,2024,0.0225
REGION1,PWRNGSB02,WTRSURBC1,1,2025,0.0225
REGION1,PWRNGSB02,WTRSURBC1,1,2026,0.0225
REGION1,DEMPWRSOL,PWRSOL,1,2021,1
REGION1,DEMPWRSOL,PWRSOL,1,2022,1
REGION1,DEMPWRSOL,PWRSOL,1,2023,1
REGION1,DEMPWRSOL,PWRSOL,1,2024,1
REGION1,DEMPWRSOL,PWRSOL,1,2025,1
REGION1,DEMPWRSOL,PWRSOL,1,2026,1
REGION1,PWRSOLB01,ELCB01,1,2021,1
REGION1,PWRSOLB01,ELCB01,1,2022,1
REGION1,PWRSOLB01,ELCB01,1,2023,1
REGION1,PWRSOLB01,ELCB01,1,2024,1
REGION1,PWRSOLB01,ELCB01,1,2025,1
REGION1,PWRSOLB01,ELCB01,1,2026,1
REGION1,PWRSOLB01,WTRSURBC1,1,2022,0
REGION1,PWRSOLB01,WTRSURBC1,1,2024,0
REGION1,PWRSOLB01,WTRSURBC1,1,2026,0
REGION1,PWRSOLB02,ELCB01,1,2021,1
REGION1,PWRSOLB02,ELCB01,1,2022,1
REGION1,PWRSOLB02,ELCB01,1,2023,1
REGION1,PWRSOLB02,ELCB01,1,2024,1
REGION1,PWRSOLB02,ELCB01,1,2025,1
REGION1,PWRSOLB02,ELCB01,1,2026,1
REGION1,PWRSOLB02,WTRSURBC1,1,2022,0
REGION1,PWRSOLB02,WTRSURBC1,1,2024,0
REGION1,PWRSOLB02,WTRSURBC1,1,2026,0
REGION1,PWRSOLB03,ELCB01,1,2021,1
REGION1,PWRSOLB03,ELCB01,1,2022,1
REGION1,PWRSOLB03,ELCB01,1,2023,1
REGION1,PWRSOLB03,ELCB01,1,2024,1
REGION1,PWRSOLB03,ELCB01,1,2025,1
REGION1,PWRSOLB03,ELCB01,1,2026,1
REGION1,PWRSOLB03,WTRSURBC1,1,2022,0
REGION1,PWRSOLB03,WTRSURBC1,1,2024,0
REGION1,PWRSOLB03,WTRSURBC1,1,2026,0
REGION1,PWRSOLB04,ELCB01,1,2021,1
REGION1,PWRSOLB04,ELCB01,1,2022,1
REGION1,PWRSOLB04,ELCB01,1,2023,1
REGION1,PWRSOLB04,ELCB01,1,2024,1
REGION1,PWRSOLB04,ELCB01,1,2025,1
REGION1,PWRSOLB04,ELCB01,1,2026,1
REGION1,PWRSOLB04,WTRSURBC1,1,2022,0
REGION1,PWRSOLB04,WTRSURBC1,1,2024,0
REGION1,PWRSOLB04,WTRSURBC1,1,2026,0
REGION1,PWRSOLB05,ELCB01,1,2021,1
REGION1,PWRSOLB05,ELCB01,1,2022,1
REGION1,PWRSOLB05,ELCB01,1,2023,1
REGION1,PWRSOLB05,ELCB01,1,2024,1
REGION1,PWRSOLB05,ELCB01,1,2025,1
REGION1,PWRSOLB05,ELCB01,1,2026,1
REGION1,PWRSOLB05,WTRSURBC1,1,2022,0
REGION1,PWRSOLB05,WTRSURBC1,1,2024,0
REGION1,PWRSOLB05,WTRSURBC1,1,2026,0
REGION1,PWRSOLB06,ELCB01,1,2021,1
REGION1,PWRSOLB06,ELCB01,1,2022,1
REGION1,PWRSOLB06,ELCB01,1,2023,1
REGION1,PWRSOLB06,ELCB01,1,2024,1
REGION1,PWRSOLB06,ELCB01,1,2025,1
REGION1,PWRSOLB06,ELCB01,1,2026,1
REGION1,PWRSOLB06,WTRSURBC1,1,2022,0
REGION1,PWRSOLB06,WTRSURBC1,1,2024,0
REGION1,PWRSOLB06,WTRSURBC1,1,2026,0
REGION1,PWRSOLB07,ELCB01,1,2021,1
REGION1,PWRSOLB07,ELCB01,1,2022,1
REGION1,PWRSOLB07,ELCB01,1,2023,1
REGION1,PWRSOLB07,ELCB01,1,2024,1
REGION1,PWRSOLB07,ELCB01,1,2025,1
REGION1,PWRSOLB07,ELCB01,1,2026,1
REGION1,PWRSOLB07,WTRSURBC1,1,2022,0
REGION1,PWRSOLB07,WTRSURBC1,1,2024,0
REGION1,PWRSOLB07,WTRSURBC1,1,2026,0
REGION1,PWRSOLB08,ELCB01,1,2021,1
REGION1,PWRSOLB08,ELCB01,1,2022,1
REGION1,PWRSOLB08,ELCB01,1,2023,1
REGION1,PWRSOLB08,ELCB01,1,2024,1
REGION1,PWRSOLB08,ELCB01,1,2025,1
REGION1,PWRSOLB08,ELCB01,1,2026,1
REGION1,PWRSOLB08,WTRSURBC1,1,2022,0
REGION1,PWRSOLB08,WTRSURBC1,1,2024,0
REGION1,PWRSOLB08,WTRSURBC1,1,2026,0
REGION1,PWRSOLB09,ELCB01,1,2021,1
REGION1,PWRSOLB09,ELCB01,1,2022,1
REGION1,PWRSOLB09,ELCB01,1,2023,1
REGION1,PWRSOLB09,ELCB01,1,2024,1
REGION1,PWRSOLB09,ELCB01,1,2025,1
REGION1,PWRSOLB09,ELCB01,1,2026,1
REGION1,PWRSOLB09,WTRSURBC1,1,2022,0
REGION1,PWRSOLB09,WTRSURBC1,1,2024,0
REGION1,PWRSOLB09,WTRSURBC1,1,2026,0
REGION1,PWRSOLB10,ELCB01,1,2021,1
REGION1,PWRSOLB10,ELCB01,1,2022,1
REGION1,PWRSOLB10,ELCB01,1,2023,1
REGION1,PWRSOLB10,ELCB01,1,2024,1
REGION1,PWRSOLB10,ELCB01,1,2025,1
REGION1,PWRSOLB10,ELCB01,1,2026,1
REGION1,PWRSOLB10,WTRSURBC1,1,2022,0
REGION1,PWRSOLB10,WTRSURBC1,1,2024,0
REGION1,PWRSOLB10,WTRSURBC1,1,2026,0
REGION1,DEMPWRURN,PWRURN,1,2021,1
REGION1,DEMPWRURN,PWRURN,1,2022,1
REGION1,DEMPWRURN,PWRURN,1,2023,1
REGION1,DEMPWRURN,PWRURN,1,2024,1
REGION1,DEMPWRURN,PWRURN,1,2025,1
REGION1,DEMPWRURN,PWRURN,1,2026,1
REGION1,PWRURNB01,ELCB01,1,2021,1
REGION1,PWRURNB01,ELCB01,1,2022,1
REGION1,PWRURNB01,ELCB01,1,2023,1
REGION1,PWRURNB01,ELCB01,1,2024,1
REGION1,PWRURNB01,ELCB01,1,2025,1
REGION1,PWRURNB01,ELCB01,1,2026,1
REGION1,PWRURNB01,WTRSURBC1,1,2021,0.0375
REGION1,PWRURNB01,WTRSURBC1,1,2022,0.0375
REGION1,PWRURNB01,WTRSURBC1,1,2023,0.0375
REGION1,PWRURNB01,WTRSURBC1,1,2024,0.0375
REGION1,PWRURNB01,WTRSURBC1,1,2025,0.0375
REGION1,PWRURNB01,WTRSURBC1,1,2026,0.0375
REGION1,DEMPWRWND,PWRWND,1,2021,1
REGION1,DEMPWRWND,PWRWND,1,2022,1
REGION1,DEMPWRWND,PWRWND,1,2023,1
REGION1,DEMPWRWND,PWRWND,1,2024,1
REGION1,DEMPWRWND,PWRWND,1,2025,1
REGION1,DEMPWRWND,PWRWND,1,2026,1
REGION1,PWRWNDB01,ELCB01,1,2021,1
REGION1,PWRWNDB01,ELCB01,1,2022,1
REGION1,PWRWNDB01,ELCB01,1,2023,1
REGION1,PWRWNDB01,ELCB01,1,2024,1
REGION1,PWRWNDB01,ELCB01,1,2025,1
REGION1,PWRWNDB01,ELCB01,1,2026,1
REGION1,PWRWNDB01,WTRSURBC1,1,2022,0
REGION1,PWRWNDB01,WTRSURBC1,1,2024,0
REGION1,PWRWNDB01,WTRSURBC1,1,2026,0
REGION1,PWRWNDB02,ELCB01,1,2021,1
REGION1,PWRWNDB02,ELCB01,1,2022,1
REGION1,PWRWNDB02,ELCB01,1,2023,1
REGION1,PWRWNDB02,ELCB01,1,2024,1
REGION1,PWRWNDB02,ELCB01,1,2025,1
REGION1,PWRWNDB02,ELCB01,1,2026,1
REGION1,PWRWNDB02,WTRSURBC1,1,2022,0
REGION1,PWRWNDB02,WTRSURBC1,1,2024,0
REGION1,PWRWNDB02,WTRSURBC1,1,2026,0
REGION1,PWRWNDB03,ELCB01,1,2021,1
REGION1,PWRWNDB03,ELCB01,1,2022,1
REGION1,PWRWNDB03,ELCB01,1,2023,1
REGION1,PWRWNDB03,ELCB01,1,2024,1
REGION1,PWRWNDB03,ELCB01,1,2025,1
REGION1,PWRWNDB03,ELCB01,1,2026,1
REGION1,PWRWNDB03,WTRSURBC1,1,2022,0
REGION1,PWRWNDB03,WTRSURBC1,1,2024,0
REGION1,PWRWNDB03,WTRSURBC1,1,2026,0
REGION1,PWRWNDB04,ELCB01,1,2021,1
REGION1,PWRWNDB04,ELCB01,1,2022,1
REGION1,PWRWNDB04,ELCB01,1,2023,1
REGION1,PWRWNDB04,ELCB01,1,2024,1
REGION1,PWRWNDB04,ELCB01,1,2025,1
REGION1,PWRWNDB04,ELCB01,1,2026,1
REGION1,PWRWNDB04,WTRSURBC1,1,2022,0
REGION1,PWRWNDB04,WTRSURBC1,1,2024,0
REGION1,PWRWNDB04,WTRSURBC1,1,2026,0
REGION1,PWRWNDB05,ELCB01,1,2021,1
REGION1,PWRWNDB05,ELCB01,1,2022,1
REGION1,PWRWNDB05,ELCB01,1,2023,1
REGION1,PWRWNDB05,ELCB01,1,2024,1
REGION1,PWRWNDB05,ELCB01,1,2025,1
REGION1,PWRWNDB05,ELCB01,1,2026,1
REGION1,PWRWNDB05,WTRSURBC1,1,2022,0
REGION1,PWRWNDB05,WTRSURBC1,1,2024,0
REGION1,PWRWNDB05,WTRSURBC1,1,2026,0
REGION1,PWRWNDB06,ELCB01,1,2021,1
REGION1,PWRWNDB06,ELCB01,1,2022,1
REGION1,PWRWNDB06,ELCB01,1,2023,1
REGION1,PWRWNDB06,ELCB01,1,2024,1
REGION1,PWRWNDB06,ELCB01,1,2025,1
REGION1,PWRWNDB06,ELCB01,1,2026,1
REGION1,PWRWNDB06,WTRSURBC1,1,2022,0
REGION1,PWRWNDB06,WTRSURBC1,1,2024,0
REGION1,PWRWNDB06,WTRSURBC1,1,2026,0
REGION1,PWRWNDB07,ELCB01,1,2021,1
REGION1,PWRWNDB07,ELCB01,1,2022,1
REGION1,PWRWNDB07,ELCB01,1,2023,1
REGION1,PWRWNDB07,ELCB01,1,2024,1
REGION1,PWRWNDB07,ELCB01,1,2025,1
REGION1,PWRWNDB07,ELCB01,1,2026,1
REGION1,PWRWNDB07,WTRSURBC1,1,2022,0
REGION1,PWRWNDB07,WTRSURBC1,1,2024,0
REGION1,PWRWNDB07,WTRSURBC1,1,2026,0
REGION1,PWRWNDB08,ELCB01,1,2021,1
REGION1,PWRWNDB08,ELCB01,1,2022,1
REGION1,PWRWNDB08,ELCB01,1,2023,1
REGION1,PWRWNDB08,ELCB01,1,2024,1
REGION1,PWRWNDB08,ELCB01,1,2025,1
REGION1,PWRWNDB08,ELCB01,1,2026,1
REGION1,PWRWNDB08,WTRSURBC1,1,2022,0
REGION1,PWRWNDB08,WTRSURBC1,1,2024,0
REGION1,PWRWNDB08,WTRSURBC1,1,2026,0
REGION1,PWRWNDB09,ELCB01,1,2021,1
REGION1,PWRWNDB09,ELCB01,1,2022,1
REGION1,PWRWNDB09,ELCB01,1,2023,1
REGION1,PWRWNDB09,ELCB01,1,2024,1
REGION1,PWRWNDB09,ELCB01,1,2025,1
