cluster_id,Region,Region_ID,Cluster_No,capex,potential_capacity,CF_mean,p_lcoe,nearest_station,nearest_station_distance_km,Site_ID
Stikine_1,Stikine,2,1,1.3234000000000001,36.29852396657105,0.5026106088227854,3.2987447989465184,287_RDC_ISS,48.208291436956905,1
East Kootenay_1,East Kootenay,16,1,1.3234000000000001,396.4233257145971,0.5129429680630582,3.2724502812801135,138_BCAB1_IPT,5.566202084208561,2
Kitimat-Stikine_1,Kitimat-Stikine,4,1,1.3234000000000001,1580.1367864376687,0.5310527229672178,3.2362312847753665,287_RDC_ISS,32.37192595883556,3
Fraser Valley_1,Fraser Valley,21,1,1.3234000000000001,60.25024619845897,0.5088063055713679,3.182628525870164,69_SZM_DSS,17.640206870728655,4
Comox-Strathcona_1,Comox-Strathcona,18,1,1.3234000000000001,262.52919767975516,0.4508265783054011,3.1508903087209896,138_SCA_GSS,40.09619852020126,5
Skeena-Queen Charlotte_1,Skeena-Queen Charlotte,7,1,1.3234000000000001,11.552804643069267,,3.1311681345970714,69_BRL_GSS,10.653692783925894,6
Peace River_1,Peace River,3,1,1.3234000000000001,6680.906911941649,0.4968085978659955,3.0681929230405007,230_DKW_GSS,29.707821805223208,7
Fraser-Fort George_1,Fraser-Fort George,6,1,1.3234000000000001,971.9022034182308,0.5126090119712207,3.0526165414287703,230_BLM_DSS,49.311081310294306,8
