REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2021,56.38889999999999
REGION1,CO2,2022,58.065210000000015
REGION1,CO2,2023,59.054767000000005
REGION1,CO2,2024,58.641237036076205
REGION1,CO2,2025,58.83806073607621
REGION1,CO2,2026,59.514600156076206
REGION1,CO2,2027,58.5791778160762
REGION1,CO2,2028,57.62144151607621
REGION1,CO2,2029,58.4507783
REGION1,CO2,2030,59.35692584000002
REGION1,CO2,2031,58.74837237999997
REGION1,CO2,2032,57.91104676000005
REGION1,CO2,2033,57.56175982
REGION1,CO2,2034,57.26836001999999
REGION1,CO2,2035,56.80373984000003
REGION1,CO2,2036,56.23727322000001
REGION1,CO2,2037,55.59155039999997
REGION1,CO2,2038,54.94677836
REGION1,CO2,2039,54.36457472000002
REGION1,CO2,2040,53.85019736000001
REGION1,CO2,2041,53.37760816
REGION1,CO2,2042,52.93267578000003
REGION1,CO2,2043,52.53066711999998
REGION1,CO2,2044,52.19213095999999
REGION1,CO2,2045,51.91503013999999
REGION1,CO2,2046,51.68158186
REGION1,CO2,2047,51.469057700000015
REGION1,CO2,2048,51.27899829999999
REGION1,CO2,2049,51.11532124000004
REGION1,CO2,2050,50.96602260000002
